Fuente;País;Reporte UNCTAD;ID reporte;Título reporte;Categoría;Ruta temática;Palabras clave;Última actualización reporte;Número de archivos bulk;Archivos procesados;Archivos omitidos por tamaño;Tamaño bulk total bytes;Número de registros;Primer periodo;Último periodo;Estado descarga;Error descarga;Archivo valores CSV.GZ;Archivo catálogo JSON;Archivo catálogo Excel;URL fuente
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.Remittances;1994;Personal remittances: receipts and payments, annual;External financial resources;Economy, investment and finance > Investment and balance of payments;remittances, transfers, personal, compensation, employees, payments, receipts;2025-11-05T13:07:00;1;1;0;69641;40;2005;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.GNI;543;DISCONTINUED - Nominal GNI, total and per capita, annual;Economic trends;Economy, investment and finance > National accounts;GNI, per capita, nominal;2023-07-18T16:51:00;1;1;0;145178;102;1970;2020;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.GDPComponent;2174;Gross domestic product: GDP by type of expenditure, VA by kind of economic activity, total and shares, annual;Economic trends;Economy, investment and finance > National accounts;GDP, breakdown, expenditure, economic activity;2026-03-06T15:28:00;1;1;0;4425120;3135;1970;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.GDPTotal;2471;Gross domestic product: Total and per capita - Annual;Economic trends;Economy, investment and finance > National accounts;Total GDP, per capita, nominal, real;2026-06-26T12:34:00;1;1;0;425702;332;1970;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.PCI;2005;Productive capacities index, annual, 2000-2024 (analytical);Multi theme statistics;Economy, investment and finance > Productive capacities;Productive capacities index, PCI, structural transformation, natural capital, human capital, energy, transport, ICT, institutions, structural change, private sector;2025-10-31T14:19:00;1;1;0;292674;225;2000;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.BiotradeMerchShare;2516;Biotrade: Bilateral trade as percentage of total trade - Annual (analytical);International trade in goods and services;Environment and related trade > Trade in biodiversity-based products;Export, import, value, share, merchandise, trade, biotrade, biodiversity;2026-07-20T06:30:00;1;1;0;12702448;6710;2010;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.BioTradeMerchGDPShare;2513;Biotrade: Trade as percentage of Gross Domestic Product - Annual (analytical);International trade in goods and services;Environment and related trade > Trade in biodiversity-based products;Export, import, share, GDP, merchandise, trade, biotrade, biodiversity;2026-07-20T06:30:00;1;1;0;21748;4;2010;2013;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.BioTradeMerchProdConcent;2120;DISCONTINUED - Biotrade: Product concentration index - Annual (analytical);International trade in goods and services;Environment and related trade > Trade in biodiversity-based products;Export, import, merchandise, trade, product concentration, biotrade, biodiversity;2025-11-28T16:02:00;1;1;0;34933;8;2010;2013;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.BiotradeMerchRCA;2121;DISCONTINUED - Biotrade: Revealed Comparative Advantage index - Annual (analytical);Merchandise biotrade;Environment and related trade > Trade in biodiversity-based products;Export, import, merchandise, trade, Revealed Comparative Advantage, RCA, biotrade, biodiversity;2025-11-28T16:02:00;1;1;0;20785250;2635;2010;2013;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.EnvironmentalGoodsRCA;2445;Green industrial goods trade, Revealed comparative advantage index, annual (analytical);Environment and related trade;Environment and related trade > Trade in green industrial goods;Export, merchandise, goods, environment, green sector, trade, Revealed Comparative Advantage, RCA, environmental goods, green goods;2026-06-12T13:45:00;1;1;0;1021401;439;1995;2013;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.WastewaterTreatment;2447;Industrial wastewater treatment technologies (analytical);Environment and related trade;Environment and related trade > Trade in green industrial goods;Trade, exports, imports, industrial wastewater, wastewater treatment, water treatment technologies, wastewater recovery, HS codes, products;2026-06-12T13:45:00;1;1;0;241521;145;1995;2013;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.EnvironmentalGoodsTrade;2446;Total trade in green industrial goods (analytical);Environment and related trade;Environment and related trade > Trade in green industrial goods;Trade, exports, imports, green goods, sector, HS, products, industrial;2026-06-12T13:45:00;1;1;0;2673479;1716;1995;2013;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.OceanServices;2385;Ocean services: Trade - Annual (analytical);International trade in goods and services;Environment and related trade > Trade in ocean goods and services;Ocean, oceans, services, international, trade, growth, sectors, maritime, sea;2026-06-08T11:50:00;1;1;0;422391;374;2005;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TradeFoodProcCat_Cat_RCA;1674;Trade by food category, detailed by food processing, RCA (analytical);International trade in goods;International trade > Food trade by processing level;Food processing, food category, trade, revealed comparative advantage;2025-03-20T12:39:00;1;1;0;3467211;2589;1995;2013;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TradeFoodProcCat_Proc_RCA;1675;Trade by food processing, detailed by food category, RCA (analytical);International trade in goods;International trade > Food trade by processing level;Food processing, food category, trade, revealed comparative advantage;2025-03-20T12:39:00;1;1;0;3796561;2845;1995;2013;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.CreativeServ_Indiv_Tot;2073;International trade in creative services: estimates for individual economies (analytical);Creative economy;International trade > Trade in creative goods and services;Creative, services, trade, international, economy;2026-04-02T15:05:00;1;1;0;62133;14;2010;2014;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.Tariff;1931;Merchandise: Import tariff rates - Annual;International trade in goods and services;International trade > Trade in merchandise;Tariff, duty, rate;2025-10-15T11:50:00;1;1;0;1484011;2168;2000;2023;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.RCA;2481;Merchandise: Revealed Comparative Advantage index - Annual (analytical);Trade indicators;International trade > Trade in merchandise;Revealed comparative advantage index;2026-08-25T13:15:00;1;1;0;8931393;7772;1995;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.ConcentDiversIndices;2464;Merchandise: Standard product concentration and diversification indices - Annual (analytical);International trade in goods and services;International trade > Trade in merchandise;Concentration index, diversification index, number of commodities;2026-07-09T11:36:00;1;1;0;189457;186;1995;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.MerchTheilIndices;2003;Merchandise: Theil concentration indices - Annual (analytical);International merchandise trade;International trade > Trade in merchandise;Theil indices, concentration indices, product concentration, market concentration, LDCs;2025-12-03T09:00:00;1;1;0;353039;180;1995;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TradeMerchTotal;2205;Merchandise: Total trade and share, annual;International trade in goods and services;International trade > Trade in merchandise;Export,import,value,share,merchandise,trade;2026-03-19T13:51:00;1;1;0;424083;312;1948;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TradeMerchGR;2204;Merchandise: Total trade growth rates, annual;International trade in goods and services;International trade > Trade in merchandise;Growth rates, export, import, merchandise, trade;2026-03-19T13:51:00;1;1;0;214725;104;19801981;20242025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TermsOfTrade;2512;Merchandise: Trade - Core indices - Annual (analytical);International trade in goods and services;International trade > Trade in merchandise;Trade, indices, value, volume, unit value, terms of trade, purchasing power of exports;2026-07-20T11:13:00;1;1;0;304595;126;2005;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TradeMerchBalance;2203;Merchandise: Trade balance, annual;International trade in goods and services;International trade > Trade in merchandise;Export, import, value, share, balance, merchandise, trade;2026-03-19T13:51:00;1;1;0;235857;156;1948;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.MerchVolumeQuarterly;2473;Merchandise: Trade volume - Growth rates - Quarterly (analytical);International trade in goods and services;International trade > Trade in merchandise;International, merchandise, trade, trend, volume, growth, indices;2026-07-06T15:59:00;1;1;0;639637;838;2005Q01;2026Q01;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TradeServCatTotal;2544;Services: Trade by category - Annual;International trade in goods and services;International trade > Trade in services;services, exports, imports, trade, transport, travel, sector, category;2026-07-23T11:34:00;1;1;0;10102418;4793;2005;2021;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TotAndComServicesQuarterly;2541;Services: Trade by main category - Quarterly;International trade in goods and services;International trade > Trade in services;Services, exports, imports, seasonal, adjustment, trade, transport, travel, quarterly, growth, BPM6;2026-07-23T09:54:00;1;1;0;4997704;3610;2005Q01;2018Q02;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.ContPortThroughput;2263;Container port throughput, annual (analytical);Maritime transport;Maritime and other transport > Freight volumes by sea;ship, maritime, transport, container, port, throughput, TEU;2026-04-15T15:06:00;1;1;0;16188;12;2010;2021;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.SeaborneTrade;2231;World seaborne trade by type of cargo, annual (analytical);Maritime transport;Maritime and other transport > Freight volumes by sea;seaborne, international, maritime, trade, cargo, volume;2026-03-17T15:55:00;1;1;0;462110;225;2000;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.LSBCI;2474;Liner shipping: Bilateral connectivity index - Quarterly (analytical);Maritime transport;Maritime and other transport > Maritime connectivity;Fleet, merchant, transport, maritime, ship, ports, connectivity, connections, index;2026-06-26T14:38:00;1;1;0;3456483;7398;2006Q01;2026Q01;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.LSCI_M;2458;Liner shipping: Connectivity index - Monthly (analytical);Maritime transport;Maritime and other transport > Maritime connectivity;maritime, transport, connectivity, ports, index;2026-06-23T14:11:00;1;1;0;209318;249;2006M02;2026M06;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.LSCI;2457;Liner shipping: Connectivity index - Quarterly (analytical);Maritime transport;Maritime and other transport > Maritime connectivity;maritime, transport, connectivity, ports, index;2026-06-23T14:11:00;1;1;0;203416;323;2006Q01;2026Q02;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.PLSCI;2282;Port liner shipping connectivity index, quarterly (analytical);Maritime transport;Maritime and other transport > Maritime connectivity;maritime, transport, connectivity, ports, index;2026-06-26T14:20:00;1;1;0;355602;716;2006Q01;2026Q02;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.VesselValueByOwnership;2338;Merchant fleet: World fleet by beneficial ownership - Annual (analytical);Maritime transport;Maritime and other transport > Merchant fleet;beneficial, owner, flag, merchant, fleet, maritime, transport;2026-06-18T13:52:00;1;1;0;9851;8;2019;2026;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.FleetBeneficialOwners;2337;Merchant fleet: World fleet by beneficial ownership - Core indicators - Annual (analytical);Maritime transport;Maritime and other transport > Merchant fleet;beneficial, owner, flag, merchant, fleet, maritime, transport;2026-06-18T13:52:00;1;1;0;412428;897;2014;2026;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.VesselValueByRegistration;2339;Merchant fleet: World fleet by flag of registration - Annual (analytical);Maritime transport;Maritime and other transport > Merchant fleet;beneficial, owner, flag, merchant, fleet, maritime, transport;2026-06-18T13:52:00;1;1;0;9782;8;2019;2026;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.MerchantFleet;2353;Merchant fleet: World fleet by flag of registration and ship type - Core indicators - Annual (analytical);Maritime transport;Maritime and other transport > Merchant fleet;merchant, fleet, maritime, transport, container, tanker, bulk, cargo, ship;2026-06-18T13:50:00;1;1;0;938045;1102;1980;2026;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.Seafarers;981;Seafarer supply, quinquennial, 2015 and 2021 (analytical);Maritime transport;Maritime and other transport > Seafarer supply;Seafarer, officers, ratings, nationality;2023-07-18T11:00:00;1;1;0;11519;12;2015;2021;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.ShipBuilding;2439;Ship building: Merchant fleet built - Annual (analytical);Maritime transport;Maritime and other transport > Ship building and recycling;ship,building;2026-06-18T13:48:00;1;1;0;11070;4;2024;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
